,Player,Team,POS,RushingAtt,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD,FL,FPTS,PassingAtt,CMP,PassingYds,PassingTD,INTS
105,Kevin Harris,NE,RB,21.6,91.8,0.7,3.0,,0.0,0.0,15.8,0.0,0.0,,0.0,0.0
106,Royce Freeman,HOU,RB,15.1,61.9,0.4,8.5,,0.3,0.0,15.5,0.0,0.0,,0.0,0.0
107,Demetric Felton Jr.,CLE,RB,3.6,25.1,0.1,9.4,,0.6,0.0,15.3,0.0,0.0,,0.0,0.0
108,Tony Jones Jr.,NO,RB,28.3,92.3,0.4,4.3,,0.1,0.0,14.9,0.0,0.0,,0.0,0.0
109,Tyler Badie,BAL,RB,20.9,100.0,0.5,2.5,,0.0,0.0,14.9,0.0,0.0,,0.0,0.0
110,Mike Boone,DEN,RB,15.0,78.2,0.7,3.5,,0.1,0.0,14.9,0.0,0.0,,0.0,0.0
111,Kyren Williams,LAR,RB,15.7,66.9,0.9,3.7,,0.0,0.1,14.7,0.0,0.0,,0.0,0.0
112,Darwin Thompson,SEA,RB,0.0,75.6,0.6,3.8,,0.2,0.1,14.5,0.0,0.0,,0.0,0.0
113,Ty Chandler,MIN,RB,21.3,86.1,0.4,4.0,,0.0,0.0,14.0,0.0,0.0,,0.0,0.0
114,Snoop Conner,JAC,RB,19.7,80.1,0.4,4.6,,0.1,0.1,13.9,0.0,0.0,,0.0,0.0
115,Abram Smith,NO,RB,20.6,85.2,0.6,1.9,,0.1,0.1,13.9,0.0,0.0,,0.0,0.0
116,Jerome Ford,CLE,RB,17.0,84.8,0.5,2.0,,0.0,0.0,13.4,0.0,0.0,,0.0,0.0
117,Patrick Ricard,BAL,RB,2.7,7.0,0.1,11.2,,0.8,0.0,13.4,0.0,0.0,,0.0,0.0
118,Dare Ogunbowale,HOU,RB,13.0,51.9,0.2,6.8,,0.2,0.1,12.3,0.0,0.0,,0.0,0.0
119,Qadree Ollison,ATL,RB,13.9,61.9,0.3,4.4,,0.2,0.1,11.7,0.0,0.0,,0.0,0.0
120,C.J. Ham,MIN,RB,5.4,15.3,0.1,9.8,,0.4,0.0,11.7,0.0,0.0,,0.0,0.0
121,Keaontay Ingram,ARI,RB,20.6,84.7,0.2,2.6,,0.0,0.1,11.6,0.0,0.0,,0.0,0.0
122,Larry Rountree III,LAC,RB,17.3,70.5,0.5,1.9,,0.1,0.1,11.6,0.0,0.0,,0.0,0.0
123,JaMycal Hasty,SF,RB,10.5,32.3,0.4,6.4,,0.2,0.0,11.6,0.0,0.0,,0.0,0.0
124,Dwayne Washington,NO,RB,16.8,47.9,0.3,4.5,,0.2,0.1,11.4,0.0,0.0,,0.0,0.0
125,Ty'Son Williams,IND,RB,13.6,64.8,0.4,2.5,,0.1,0.0,11.3,0.0,0.0,,0.0,0.0
126,Justice Hill,BAL,RB,9.6,41.5,0.4,3.7,,0.1,0.0,10.3,0.0,0.0,,0.0,0.0
127,Darrynton Evans,CHI,RB,12.2,54.1,0.3,4.1,,0.1,0.1,10.2,0.0,0.0,,0.0,0.0
128,Jake Funk,LAR,RB,9.6,48.3,0.4,2.9,,0.1,0.1,10.1,0.0,0.0,,0.0,0.0
129,Rico Dowdle,DAL,RB,13.3,54.3,0.2,3.6,,0.1,0.1,9.8,0.0,0.0,,0.0,0.0
130,Keith Smith,ATL,RB,8.1,24.4,0.2,7.0,,0.3,0.1,9.7,0.0,0.0,,0.0,0.0
131,Trenton Cannon,TEN,RB,7.5,20.3,0.1,5.3,,0.3,0.0,8.9,0.0,0.0,,0.0,0.0
132,Derrick Gore,KC,RB,6.2,24.9,0.1,6.3,,0.2,0.0,8.4,0.0,0.0,,0.0,0.0
133,Andy Janovich,HOU,RB,8.7,17.3,0.1,6.1,,0.2,0.0,8.3,0.0,0.0,,0.0,0.0
134,Kylin Hill,GB,RB,8.7,34.4,0.1,5.1,,0.1,0.0,8.3,0.0,0.0,,0.0,0.0
135,Mekhi Sargent,JAC,RB,2.2,42.1,0.3,3.2,,0.1,0.1,8.3,0.0,0.0,,0.0,0.0
136,Trestan Ebner,CHI,RB,7.8,32.7,0.3,2.8,,0.1,0.1,7.4,0.0,0.0,,0.0,0.0
137,Andrew Beck,DEN,RB,4.7,18.9,0.2,4.4,,0.2,0.0,7.2,0.0,0.0,,0.0,0.0
138,Devine Ozigbo,NO,RB,4.8,19.2,0.2,3.9,,0.2,0.0,7.1,0.0,0.0,,0.0,0.0
139,Alec Ingold,MIA,RB,4.3,17.5,0.2,4.4,,0.2,0.1,7.0,0.0,0.0,,0.0,0.0
140,Michael Burton,KC,RB,5.8,28.2,0.3,2.6,,0.2,0.0,6.9,0.0,0.0,,0.0,0.0
141,Giovanni Ricci,CAR,RB,4.5,18.2,0.1,4.1,,0.2,0.0,6.8,0.0,0.0,,0.0,0.0
142,Ryquell Armstead,JAC,RB,5.9,24.6,0.2,3.0,,0.1,0.0,6.8,0.0,0.0,,0.0,0.0
143,Ty Johnson,NYJ,RB,5.4,22.4,0.1,3.8,,0.2,0.1,6.7,0.0,0.0,,0.0,0.0
144,Alex Armah Jr.,WAS,RB,4.8,19.0,0.2,3.9,,0.2,0.0,6.7,0.0,0.0,,0.0,0.0
145,Cethan Carter,MIA,RB,0.0,0.9,0.0,2.6,,0.4,0.0,6.6,0.0,0.0,,0.0,0.0
146,La'Mical Perine,NYJ,RB,4.3,17.2,0.2,3.9,,0.2,0.0,6.4,0.0,0.0,,0.0,0.0
147,Deon Jackson,IND,RB,8.7,37.2,0.3,1.0,,0.0,0.1,6.4,0.0,0.0,,0.0,0.0
148,Mataeo Durant,PIT,RB,7.4,30.6,0.2,2.1,,0.1,0.0,6.0,0.0,0.0,,0.0,0.0
149,Jason Cabinda,DET,RB,3.3,10.7,0.1,4.8,,0.2,0.0,6.0,0.0,0.0,,0.0,0.0
150,Khari Blasingame,CHI,RB,2.4,10.2,0.1,4.2,,0.2,0.0,5.8,0.0,0.0,,0.0,0.0
151,Derek Watt,PIT,RB,2.2,10.0,0.1,4.3,,0.2,0.0,5.5,0.0,0.0,,0.0,0.0
152,Jakob Johnson,LV,RB,4.0,9.4,0.1,4.4,,0.2,0.0,5.4,0.0,0.0,,0.0,0.0
153,Johnny Stanton IV,CLE,RB,2.2,9.4,0.1,3.8,,0.2,0.0,5.4,0.0,0.0,,0.0,0.0
154,Patrick Taylor Jr.,GB,RB,5.3,22.2,0.2,2.1,,0.1,0.1,5.3,0.0,0.0,,0.0,0.0
155,Adam Prentice,NO,RB,4.4,18.7,0.1,2.0,,0.1,0.0,5.0,0.0,0.0,,0.0,0.0
156,Reggie Gilliam,BUF,RB,0.0,0.0,0.0,4.4,,0.2,0.0,4.6,0.0,0.0,,0.0,0.0
157,Antonio Williams,NYG,RB,5.0,21.6,0.2,1.4,,0.1,0.1,4.4,0.0,0.0,,0.0,0.0
158,Nick Bawden,NYJ,RB,0.0,0.0,0.0,4.3,,0.2,0.0,4.4,0.0,0.0,,0.0,0.0
159,Trayveon Williams,CIN,RB,2.9,11.9,0.1,2.8,,0.1,0.0,4.1,0.0,0.0,,0.0,0.0
160,Godwin Igwebuike,DET,RB,2.3,9.1,0.1,2.0,,0.1,0.0,3.5,0.0,0.0,,0.0,0.0
161,Jaylen Warren,PIT,RB,9.0,34.0,0.0,0.0,,0.0,0.0,3.4,0.0,0.0,,0.0,0.0
162,Jason Huntley,PHI,RB,2.9,12.6,0.1,1.1,,0.1,0.1,2.9,0.0,0.0,,0.0,0.0
163,Gabe Nabers,LAC,RB,4.4,14.1,0.1,1.1,,0.1,0.0,2.8,0.0,0.0,,0.0,0.0
164,Spencer Brown,BUF,RB,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
165,John Lovett,MIA,RB,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
166,Gerrid Doaks,MIA,RB,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
167,Nate McCrary,BAL,RB,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
168,John Kelly Jr.,CLE,RB,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
169,Taiwan Jones,BUF,RB,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
170,Salvon Ahmed,MIA,RB,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
171,Malik Davis,DAL,RB,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
172,Jonathan Williams,WAS,RB,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
173,Reggie Bonnafon,WAS,RB,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
174,0,0,RB,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
175,0,0,RB,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
1,Cooper Kupp,LAR,WR,4.1,,0.1,121.8,1593.8,12.4,0.6,235.5,0.0,0.0,,0.0,0.0
2,Ja'Marr Chase,CIN,WR,8.5,,0.2,91.7,1417.5,10.5,0.6,209.4,0.0,0.0,,0.0,0.0
3,Justin Jefferson,MIN,WR,3.1,,0.0,103.2,1506.8,9.6,0.6,208.7,0.0,0.0,,0.0,0.0
4,Deebo Samuel,SF,WR,66.2,,4.7,70.7,1052.8,6.1,0.7,206.4,0.0,0.0,,0.0,0.0
5,Davante Adams,LV,WR,0.0,,0.0,106.4,1322.2,9.2,0.5,186.7,0.0,0.0,,0.0,0.0
6,Stefon Diggs,BUF,WR,0.2,,0.0,102.1,1256.9,8.9,0.5,178.2,0.0,0.0,,0.0,0.0
7,CeeDee Lamb,DAL,WR,6.0,,0.1,91.3,1241.1,7.7,0.5,174.1,0.0,0.0,,0.0,0.0
8,Mike Evans,TB,WR,0.2,,0.0,82.2,1132.2,10.1,0.5,172.8,0.0,0.0,,0.0,0.0
9,Tyreek Hill,MIA,WR,8.8,,0.3,92.0,1148.9,8.0,0.5,170.1,0.0,0.0,,0.0,0.0
10,Tee Higgins,CIN,WR,0.2,,0.0,85.3,1195.2,7.8,0.5,165.6,0.0,0.0,,0.0,0.0
11,A.J. Brown,PHI,WR,0.8,,0.0,77.6,1134.6,8.1,0.5,162.0,0.0,0.0,,0.0,0.0
12,Mike Williams,LAC,WR,0.0,,0.0,74.6,1098.1,7.9,0.4,156.7,0.0,0.0,,0.0,0.0
13,Michael Pittman Jr.,IND,WR,3.7,,0.0,91.1,1126.7,6.6,0.6,154.6,0.0,0.0,,0.0,0.0
14,DJ Moore,CAR,WR,5.6,,0.1,87.0,1146.7,5.6,0.6,151.4,0.0,0.0,,0.0,0.0
15,Keenan Allen,LAC,WR,0.4,,0.0,99.6,1086.5,6.9,0.5,149.1,0.0,0.0,,0.0,0.0
16,Brandin Cooks,HOU,WR,2.6,,0.1,92.5,1109.3,6.1,0.5,148.9,0.0,0.0,,0.0,0.0
17,Gabriel Davis,BUF,WR,0.0,,0.0,61.2,954.2,8.8,0.1,147.8,0.0,0.0,,0.0,0.0
18,DK Metcalf,SEA,WR,0.4,,0.0,78.5,1057.2,6.8,0.6,145.8,0.0,0.0,,0.0,0.0
