"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Josh Reynolds","DET","16.9","233.5","1.6","0.0","0.0","0.0","0.1","32.6"
"Rashard Higgins","CAR","17.4","233.7","1.2","0.3","2.7","0.0","0.1","31.0"
"Tylan Wallace","BAL","16.1","208.1","1.3","0.0","0.0","0.0","0.1","28.7"
"Laquon Treadwell","JAC","15.9","211.6","1.3","0.0","0.0","0.0","0.0","28.6"
"Anthony Schwartz","CLE","15.1","200.6","1.3","1.1","6.8","0.0","0.1","28.5"
"Jaylon Moore","BAL","16.8","202.8","1.3","0.0","0.0","0.0","0.0","28.2"
"Keke Coutee","IND","17.8","204.4","1.3","0.0","0.0","0.0","0.0","28.1"
"Noah Brown","DAL","15.9","189.0","1.3","0.0","0.0","0.0","0.1","26.7"
"Ben Skowronek","LAR","15.1","185.0","1.3","0.0","0.0","0.0","0.0","26.5"
"KhaDarel Hodge","ATL","13.9","206.3","0.9","0.0","0.0","0.0","0.0","26.0"
"Jamal Agnew","JAC","12.0","135.8","0.7","8.6","56.3","0.4","0.1","25.5"
"Montrell Washington","DEN","13.0","174.0","1.0","0.0","0.0","0.0","0.0","23.4"
"Equanimeous St. Brown","CHI","13.0","179.4","0.9","0.0","0.0","0.0","0.1","23.3"
"Dez Fitzpatrick","TEN","13.1","175.3","1.0","0.0","0.0","0.0","0.0","23.3"
"Dyami Brown","WAS","11.7","180.4","0.9","0.0","0.0","0.0","0.0","23.1"
"Quintez Cephus","DET","11.0","149.2","1.3","0.0","0.0","0.0","0.0","22.8"
"Zach Pascal","PHI","11.6","147.3","1.1","0.3","1.8","0.0","0.0","21.6"
"Ty Montgomery","NE","10.3","99.2","0.5","9.7","56.9","0.5","0.0","21.5"
"Kalif Raymond","DET","12.5","150.5","1.0","0.7","4.2","0.0","0.0","21.5"
"Calvin Austin III","PIT","15.3","180.4","0.6","0.0","0.0","0.0","0.1","21.4"
"Chester Rogers","HOU","14.4","161.2","0.8","0.0","0.0","0.0","0.0","20.7"
"Erik Ezukanma","MIA","10.9","149.1","1.0","0.0","0.0","0.0","0.1","20.7"
"Damiere Byrd","ATL","13.1","152.0","0.7","0.0","0.0","0.0","0.1","19.5"
"Chris Moore","HOU","14.0","152.3","0.7","0.0","0.0","0.0","0.1","19.3"
"Ihmir Smith-Marsette","MIN","11.4","141.6","0.8","0.0","0.0","0.0","0.1","19.0"
"Breshad Perriman","TB","9.3","133.0","0.9","0.0","0.0","0.0","0.0","18.9"
"Antoine Wesley","ARI","11.0","135.6","0.9","0.0","0.0","0.0","0.0","18.8"
"Cody Hollister","TEN","11.3","133.2","0.9","0.0","0.0","0.0","0.0","18.8"
"Cam Sims","WAS","10.0","139.3","0.8","0.0","0.0","0.0","0.0","18.7"
"Ray-Ray McCloud","SF","12.4","139.8","0.8","0.0","0.0","0.0","0.0","18.7"
"Lynn Bowden Jr.","MIA","11.4","117.5","0.6","2.3","14.3","0.1","0.0","17.4"
"Ja'Marcus Bradley","CLE","10.0","129.0","0.7","0.0","0.0","0.0","0.0","17.0"
"Kristian Wilkerson","NE","10.1","117.7","0.8","0.0","0.0","0.0","0.0","16.3"
"Tutu Atwell","LAR","8.8","112.2","0.8","0.0","0.0","0.0","0.1","15.7"
"Ashton Dulin","IND","8.1","107.2","0.6","1.2","7.5","0.1","0.1","15.4"
"Brandon Zylstra","CAR","9.4","119.0","0.6","0.0","0.0","0.0","0.1","15.3"
"Albert Wilson","MIN","7.5","77.2","0.5","4.4","27.7","0.2","0.0","15.0"
"Trent Sherfield","MIA","8.9","110.5","0.6","0.0","0.0","0.0","0.0","14.8"
"Tyquan Thornton","NE","8.7","102.5","0.7","0.0","0.0","0.0","0.1","14.1"
"Tyler Johnson","TB","8.8","101.1","0.6","0.0","0.0","0.0","0.0","13.7"
"Juwan Johnson","NO","9.3","93.5","0.7","0.0","0.0","0.0","0.0","13.3"
"Richie James Jr.","NYG","8.0","100.2","0.5","0.0","0.0","0.0","0.1","12.8"
"Samori Toure","GB","6.8","80.6","0.7","0.0","0.0","0.0","0.0","12.4"
"Juwann Winfree","GB","7.2","83.8","0.6","0.0","0.0","0.0","0.0","12.0"
"Jeff Smith","NYJ","6.7","90.3","0.5","0.0","0.0","0.0","0.0","11.7"
"Danny Gray","SF","7.8","90.6","0.5","0.0","0.0","0.0","0.1","11.6"
"Terry Godwin","TEN","6.9","85.7","0.5","0.0","0.0","0.0","0.0","11.6"
"Penny Hart","SEA","8.0","85.2","0.5","0.0","0.0","0.0","0.0","11.5"
"Dazz Newsome","CHI","6.4","84.1","0.5","0.0","0.0","0.0","0.0","11.1"
"Simi Fehoko","DAL","6.1","80.2","0.5","0.0","0.0","0.0","0.0","11.1"
"Khalil Shakir","BUF","6.6","78.2","0.5","0.7","4.0","0.0","0.0","11.1"
"Preston Williams","MIA","6.7","79.2","0.5","0.0","0.0","0.0","0.0","11.0"
"Auden Tate","ATL","6.2","80.0","0.5","0.0","0.0","0.0","0.0","10.7"
"Jalen Reagor","PHI","5.7","61.8","0.4","3.1","17.1","0.1","0.1","10.7"
"Deonte Harty","NO","4.7","63.9","0.5","1.3","11.0","0.0","0.0","10.6"
"David Moore","CHI","6.3","80.7","0.4","0.0","0.0","0.0","0.0","10.6"
"Marcus Johnson","SF","6.0","73.9","0.5","0.0","0.0","0.0","0.0","10.6"
"Kendall Hinton","DEN","4.8","77.5","0.5","0.0","0.0","0.0","0.0","10.5"
"Christian Blake","PIT","6.8","76.7","0.5","0.0","0.0","0.0","0.0","10.4"
"Tre'Quan Smith","NO","6.5","69.9","0.5","0.0","0.0","0.0","0.0","10.0"
"Dezmon Patmon","IND","5.4","67.3","0.5","0.0","0.0","0.0","0.0","10.0"
"Miles Boykin","PIT","5.8","74.3","0.4","0.0","0.0","0.0","0.0","9.8"
"N'Keal Harry","CHI","5.8","75.5","0.4","0.0","0.0","0.0","0.0","9.7"
"T.J. Vasher","DAL","5.6","64.9","0.6","0.0","0.0","0.0","0.0","9.7"
"Kyle Philips","TEN","7.2","82.6","0.3","0.0","0.0","0.0","0.0","9.7"
"Tajae Sharpe","CHI","5.9","71.4","0.4","0.0","0.0","0.0","0.0","9.6"
"Racey McMath","TEN","5.4","70.9","0.4","0.0","0.0","0.0","0.0","9.5"
"Mike Strachan","IND","5.8","68.2","0.5","0.0","0.0","0.0","0.0","9.5"
"DeAndre Carter","LAC","5.4","64.8","0.4","0.0","0.0","0.0","0.0","8.8"
"Greg Ward","PHI","5.3","61.7","0.4","0.0","0.0","0.0","0.0","8.6"
"Andre Roberts","CAR","3.9","67.6","0.3","0.0","0.0","0.0","0.0","8.6"
"Marquise Goodwin","SEA","4.8","67.1","0.3","0.0","0.0","0.0","0.0","8.5"
"Mack Hollins","LV","4.0","59.0","0.4","0.0","0.0","0.0","0.0","8.3"
"Nsimba Webster","CHI","3.0","65.1","0.3","0.0","0.0","0.0","0.0","8.1"
"Tyron Johnson","LV","4.5","57.4","0.4","0.0","0.0","0.0","0.0","8.0"
"Javon Wims","CLE","5.9","59.3","0.3","0.0","0.0","0.0","0.0","8.0"
"Trent Taylor","CIN","4.6","56.4","0.4","0.0","0.0","0.0","0.0","7.9"
"Trey Quinn","DEN","4.6","64.4","0.2","0.0","0.0","0.0","0.0","7.8"
"Matthew Slater","NE","1.3","64.6","0.2","0.0","0.0","0.0","0.0","7.5"
"Mohamed Sanu Sr.","MIA","5.8","54.2","0.4","0.0","0.0","0.0","0.0","7.5"
"Mike Thomas","CIN","4.6","55.3","0.3","0.0","0.0","0.0","0.0","7.3"
"Malik Turner","SF","3.4","51.9","0.3","0.0","0.0","0.0","0.0","7.2"
"Tyrie Cleveland","DEN","3.5","53.1","0.3","0.0","0.0","0.0","0.0","7.2"
"Seth Williams","DEN","4.1","50.8","0.3","0.0","0.0","0.0","0.0","7.1"
"Cyril Grayson Jr.","TB","3.9","47.2","0.4","0.0","0.0","0.0","0.0","7.1"
"Jaelon Darden","TB","3.4","48.1","0.3","0.0","0.0","0.0","0.0","6.6"
"Jake Kumerow","BUF","3.6","44.0","0.3","0.0","0.0","0.0","0.0","6.4"
"Stanley Morgan Jr.","CIN","4.5","50.6","0.2","0.0","0.0","0.0","0.0","6.4"
"Malik Taylor","GB","3.6","43.2","0.3","0.0","0.0","0.0","0.0","6.3"
"C.J. Board","NYG","2.7","47.0","0.2","0.0","0.0","0.0","0.0","6.1"
"Greg Dortch","ARI","3.7","43.9","0.3","0.0","0.0","0.0","0.0","6.1"
"Marquez Stevenson","BUF","3.6","40.7","0.3","0.0","0.0","0.0","0.0","6.1"
"Bisi Johnson","MIN","4.5","42.8","0.3","0.0","0.0","0.0","0.0","5.9"
"Trenton Irwin","CIN","3.5","39.8","0.3","0.0","0.0","0.0","0.0","5.8"
"Lil'Jordan Humphrey","NE","3.4","42.6","0.3","0.0","0.0","0.0","0.0","5.8"
"Jalen Nailor","MIN","3.4","39.9","0.3","0.0","0.0","0.0","0.0","5.8"
"Shi Smith","CAR","3.3","40.7","0.2","0.0","0.0","0.0","0.0","5.4"
"Devin Funchess","DET","3.0","39.0","0.2","0.0","0.0","0.0","0.0","5.3"
"Dennis Houston","DAL","5.0","52.0","0.0","0.0","0.0","0.0","0.0","5.2"
"Dante Pettis","CHI","2.9","40.9","0.2","0.0","0.0","0.0","0.0","5.2"
"Steven Sims Jr.","PIT","3.7","38.5","0.2","0.0","0.0","0.0","0.0","5.1"
"Denzel Mims","NYJ","3.0","37.9","0.2","0.0","0.0","0.0","0.0","5.0"
"Keelan Doss","NYG","3.6","39.8","0.2","0.0","0.0","0.0","0.0","5.0"
