"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Mike Boone","DEN","15.0","78.2","0.7","3.5","25.3","0.1","0.0","14.9"
"Kyren Williams","LAR","15.7","66.9","0.9","3.7","28.4","0.0","0.1","14.7"
"Darwin Thompson","SEA","0.0","75.6","0.6","3.8","28.8","0.2","0.1","14.5"
"Ty Chandler","MIN","21.3","86.1","0.4","4.0","31.0","0.0","0.0","14.0"
"Snoop Conner","JAC","19.7","80.1","0.4","4.6","32.7","0.1","0.1","13.9"
"Abram Smith","NO","20.6","85.2","0.6","1.9","13.8","0.1","0.1","13.9"
"Jerome Ford","CLE","17.0","84.8","0.5","2.0","18.0","0.0","0.0","13.4"
"Patrick Ricard","BAL","2.7","7.0","0.1","11.2","76.1","0.8","0.0","13.4"
"Dare Ogunbowale","HOU","13.0","51.9","0.2","6.8","52.0","0.2","0.1","12.3"
"Qadree Ollison","ATL","13.9","61.9","0.3","4.4","30.2","0.2","0.1","11.7"
"C.J. Ham","MIN","5.4","15.3","0.1","9.8","70.5","0.4","0.0","11.7"
"Keaontay Ingram","ARI","20.6","84.7","0.2","2.6","18.9","0.0","0.1","11.6"
"Larry Rountree III","LAC","17.3","70.5","0.5","1.9","14.9","0.1","0.1","11.6"
"JaMycal Hasty","SF","10.5","32.3","0.4","6.4","49.0","0.2","0.0","11.6"
"Dwayne Washington","NO","16.8","47.9","0.3","4.5","35.6","0.2","0.1","11.4"
"Ty'Son Williams","IND","13.6","64.8","0.4","2.5","20.7","0.1","0.0","11.3"
"Justice Hill","BAL","9.6","41.5","0.4","3.7","27.6","0.1","0.0","10.3"
"Darrynton Evans","CHI","12.2","54.1","0.3","4.1","27.6","0.1","0.1","10.2"
"Jake Funk","LAR","9.6","48.3","0.4","2.9","21.8","0.1","0.1","10.1"
"Rico Dowdle","DAL","13.3","54.3","0.2","3.6","25.6","0.1","0.1","9.8"
"Keith Smith","ATL","8.1","24.4","0.2","7.0","45.8","0.3","0.1","9.7"
"Trenton Cannon","TEN","7.5","20.3","0.1","5.3","46.2","0.3","0.0","8.9"
"Derrick Gore","KC","6.2","24.9","0.1","6.3","44.7","0.2","0.0","8.4"
"Andy Janovich","HOU","8.7","17.3","0.1","6.1","45.4","0.2","0.0","8.3"
